run_id,timestamp,epoch,epoch_seconds,train_main_loss,train_ca1_aux_loss,train_total_loss,train_auc,train_ap,train_f1,val_main_loss,val_ca1_aux_loss,val_total_loss,val_auc,val_ap,val_f1,is_best
rgtan_aml_seed2023_20260713_124229,2026-07-13T12:49:10.192200+08:00,1,397.4059815555811,0.011464151888629318,0.0,0.011464151888629318,0.5213426607103686,0.0013549975957441755,0.49960525101592324,0.00993975331691508,0.0,0.00993975331691508,0.581489611454671,0.010492871596263184,0.49967838655553704,True
rgtan_aml_seed2023_20260713_124229,2026-07-13T12:55:41.518166+08:00,2,391.2462385110557,0.00951764046508339,0.0,0.00951764046508339,0.6351994847166145,0.02816335942510898,0.4996762150478843,0.008390287531350231,0.0,0.008390287531350231,0.7658386094372772,0.23329191202393154,0.5354045765006068,True
rgtan_aml_seed2023_20260713_124229,2026-07-13T13:02:09.471999+08:00,3,387.894273635,0.00830373000803156,0.0,0.00830373000803156,0.7701551340286449,0.1381561126890105,0.581676853033601,0.006687557176598632,0.0,0.006687557176598632,0.9347593796412426,0.41634093415790213,0.6406402005074572,True
rgtan_aml_seed2023_20260713_124229,2026-07-13T13:08:41.875144+08:00,4,392.3325558565557,0.006136735027606395,0.0,0.006136735027606395,0.9079101378537338,0.3491207830386826,0.690123649353328,0.0038485000705251555,0.0,0.0038485000705251555,0.9606807684943647,0.7765427983846185,0.7945888866352082,True
rgtan_aml_seed2023_20260713_124229,2026-07-13T13:15:33.127687+08:00,5,411.18182093277574,0.004229397755751286,0.0,0.004229397755751286,0.9521777739259121,0.5805577740383002,0.803160396811033,0.002926133154711847,0.0,0.002926133154711847,0.975342558906899,0.8500418945832867,0.8390042348862233,True
rgtan_aml_seed2023_20260713_124229,2026-07-13T13:22:15.658508+08:00,6,402.45958613976836,0.003362079201873855,0.0,0.003362079201873855,0.961994645707596,0.6937753763083869,0.8590362455103804,0.0028300115931220626,0.0,0.0028300115931220626,0.9687231534753347,0.8228112140194238,0.8909098797933968,True
rgtan_aml_seed2023_20260713_124229,2026-07-13T13:29:04.573331+08:00,7,408.8462455384433,0.003024835091495353,0.0,0.003024835091495353,0.9632130843356327,0.7347970393383572,0.8917629673408675,0.0022408603203798953,0.0,0.0022408603203798953,0.9762708029202604,0.861530389005337,0.9206431791991809,True
rgtan_aml_seed2023_20260713_124229,2026-07-13T13:36:23.003677+08:00,8,438.3661728873849,0.0027799836926604778,0.0,0.0027799836926604778,0.9664211760363075,0.7616031795010264,0.9058581727500714,0.0020654017898999602,0.0,0.0020654017898999602,0.974476496935818,0.8606964632080194,0.934448899075845,True
rgtan_aml_seed2023_20260713_124229,2026-07-13T13:43:48.817114+08:00,9,445.74061650037766,0.0026513456201165218,0.0,0.0026513456201165218,0.9683008523713925,0.7731669915112787,0.9096099723605484,0.002025640311709152,0.0,0.002025640311709152,0.9780719019009181,0.8700127829336702,0.9293494122683021,True
rgtan_aml_seed2023_20260713_124229,2026-07-13T13:51:17.287479+08:00,10,448.40478118136525,0.0055688589945757355,0.0,0.0055688589945757355,0.8501186626586276,0.4753540217968704,0.805772946283126,0.0071071760311369764,0.0,0.0071071760311369764,0.7306628713818422,0.33171207155644167,0.7210800065355918,False
rgtan_aml_seed2023_20260713_124229,2026-07-13T13:58:15.743209+08:00,11,418.4522643312812,0.004075386887690712,0.0,0.004075386887690712,0.9160289219031236,0.6356980243742255,0.8638637869346159,0.005467314748538529,0.0,0.005467314748538529,0.8415273624950714,0.5232958818769207,0.8080615943587395,False
rgtan_aml_seed2023_20260713_124229,2026-07-13T14:05:46.273360+08:00,12,450.5271238088608,0.0047747575961184,0.0,0.0047747575961184,0.8937294065850729,0.5527375676878029,0.8328830605427999,0.0026626286334517353,0.0,0.0026626286334517353,0.9558367495617617,0.7889397579776696,0.9211235924913612,False
rgtan_aml_seed2023_20260713_124229,2026-07-13T14:13:22.151167+08:00,13,455.87469778582454,0.0028469963808779304,0.0,0.0028469963808779304,0.9563332138241779,0.758742657012388,0.9108169316262107,0.0018850807770441798,0.0,0.0018850807770441798,0.9819216207879953,0.8655803355136842,0.9411083692534492,True
rgtan_aml_seed2023_20260713_124229,2026-07-13T14:20:46.720818+08:00,14,444.4930482134223,0.002383294733196077,0.0,0.002383294733196077,0.9709783943440643,0.7983243924088489,0.9258135847366562,0.001811311354307678,0.0,0.001811311354307678,0.9811659945564496,0.8856822660003025,0.9394582199683503,True
rgtan_aml_seed2023_20260713_124229,2026-07-13T14:28:07.539400+08:00,15,440.75385680422187,0.0023491800677532333,0.0,0.0023491800677532333,0.9742395871530851,0.8005227249932143,0.9284885176280389,0.0016987569761366561,0.0,0.0016987569761366561,0.9756311441254331,0.8717447114831681,0.9526658777142177,True
